B,P,C,X,N,Time
5,1,1,0,1,10.367
5,1,5,0,1,10.344
5,5,1,0,1,2.251
5,5,5,0,1,2.239
10,1,1,0,1,10.330
10,1,5,0,1,10.331
10,1,10,0,1,10.338
10,5,1,0,1,2.266
10,5,5,0,1,2.362
10,5,10,0,1,2.202
10,10,1,0,1,1.280
10,10,5,0,1,1.302
10,10,10,0,1,1.221
5,1,1,200,1,10.633
5,1,5,200,1,10.511
5,5,1,200,1,10.654
5,5,5,200,1,2.426
10,1,1,200,1,10.517
10,1,5,200,1,10.522
10,1,10,200,1,10.584
10,5,1,200,1,10.519
10,5,5,200,1,2.432
10,5,10,200,1,2.364
10,10,1,200,1,10.596
10,10,5,200,1,2.421
10,10,10,200,1,1.486
5,1,1,400,1,20.639
5,1,5,400,1,10.721
5,5,1,400,1,20.733
5,5,5,400,1,4.602
10,1,1,400,1,20.836
10,1,5,400,1,10.743
10,1,10,400,1,10.715
10,5,1,400,1,20.709
10,5,5,400,1,4.636
10,5,10,400,1,2.583
10,10,1,400,1,20.774
10,10,5,400,1,4.584
10,10,10,400,1,2.632

